"Incident ID","Incident Date",State,"City Or County",Address,"Business/Location Name","Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3102636,"December 26, 2024",Washington,Pullman,"800 block of NE California St",N/A,1,0,0,0,1,N/A
3099438,"December 20, 2024","South Carolina",Blythewood,"180 Turkey Farm Rd","Westwood High School",0,0,0,0,1,N/A
3138348,"December 20, 2024",Massachusetts,Lynn,"235 O'Callaghan Way","Classical High School",0,0,0,0,1,N/A
3098581,"December 19, 2024",Illinois,Oreana,"400 W South St","Argenta-Oreana Elementary School",0,0,0,0,1,N/A
3098506,"December 19, 2024",Arkansas,Paragould,"US-412 and Co Rd 808",N/A,0,0,1,0,0,N/A
3098572,"December 19, 2024","South Carolina",Greenville,"2725 Anderson Rd","Carolina High School",0,0,0,0,1,N/A
3098062,"December 18, 2024","New York",Canisteo,"120 Greenwood St","Canisteo Greenwood Elementary School",0,0,0,0,1,N/A
3098023,"December 18, 2024",California,Barstow,"405 N 2nd Ave","Central High School",0,0,0,0,2,N/A
3097870,"December 18, 2024",Arizona,Vail,"16705 S Houghton Rd","Corona Foothills Middle School",0,0,0,0,1,N/A
3097949,"December 17, 2024",Florida,"Saint Petersburg","7855 22nd Ave N","Azalea Middle School",0,0,0,0,1,N/A
3096905,"December 17, 2024",Florida,Kissimmee,"2300 S Poinciana Blvd","Poinciana High School",0,0,0,0,1,N/A
3095500,"December 16, 2024",Wisconsin,"Madison (Monona Grove)","4400 Monona Dr","Monona Grove High School",0,0,0,0,1,N/A
3094796,"December 16, 2024",Wisconsin,Madison,"4901 E Buckeye Rd","Abundant Life Christian School",2,6,1,0,0,N/A
3095238,"December 16, 2024","North Carolina",Charlotte,"8800 block of E W.T. Harris Blvd",N/A,0,0,0,0,3,N/A
3096641,"December 16, 2024",Arkansas,Jonesboro,"1814 W Nettleton Ave","Annie Camp Junior High School",0,0,0,0,1,N/A
3095924,"December 16, 2024",California,Bakersfield,"6401 Allen Rd","Frontier High School",0,0,0,0,1,N/A
3096277,"December 14, 2024",Georgia,Valdosta,"1500 N Patterson St","Valdosta State University",0,0,0,0,0,N/A
3095625,"December 14, 2024",Tennessee,Chattanooga,"1020 N Moore Rd","Brainerd High School",0,0,0,0,0,N/A
3096374,"December 13, 2024",Oklahoma,Blanchard,"1620 N Main St","Blanchard Elementary School",0,0,0,0,0,N/A
3095609,"December 13, 2024",Tennessee,Fairview,"7200 Cumberland Dr","Fairview High School",0,0,0,0,1,N/A
3093827,"December 13, 2024",Georgia,Clarkston,"618 N Indian Creek Dr","Clarkston High School",0,0,0,0,2,N/A
3094213,"December 13, 2024",Florida,Tallahassee,"723 W Orange Ave","R. Frank Nims Middle School",0,0,0,0,1,N/A
3098451,"December 13, 2024",Washington,Auburn,"1015 24th St NE","Cascade Middle School",0,0,0,0,0,N/A
3108539,"December 13, 2024",Illinois,Goreville,N/A,N/A,0,0,0,0,1,N/A
3093569,"December 13, 2024",Texas,Humble,"13300 Will Clayton Pkwy","Atascocita High School",0,0,0,0,1,N/A
3093507,"December 12, 2024","New York",Morrisville,"44 South St","SUNY Morrisville",0,0,0,0,1,N/A
3092617,"December 12, 2024",Arizona,Phoenix,"14620 S Desert Foothills Pkwy","Kyrene Altadena Middle School",0,0,0,0,1,N/A
3093090,"December 12, 2024",Maryland,Dundalk,"8100 Wise Ave","Patapsco High School",0,0,0,0,1,N/A
3092753,"December 12, 2024","North Carolina",Franklin,"100 Watauga St","East Franklin Elementary School",0,0,0,0,1,N/A
3093591,"December 12, 2024",Pennsylvania,"Mount Carmel","600 W 5th St","Mt Carmel Area School District",0,0,0,0,1,N/A
3092544,"December 11, 2024","South Carolina",Charleston,"3080 River Village Dr","Philip Simmons High School",0,0,0,0,1,N/A
3203696,"December 11, 2024",Nebraska,Hastings,"710 Turner Ave","Hastings College",0,0,0,0,1,N/A
3092492,"December 11, 2024",California,Berkeley,"1980 Allston Way","Berkeley High School",0,0,0,0,2,N/A
3095735,"December 11, 2024",Texas,"Deer Park","710 San Augustine Ave","Deer Park High School South Campus",0,0,0,0,1,N/A
3092295,"December 11, 2024",Indiana,"Fort Wayne","13121 Coldwater Rd","Perry Hill Elementary School",0,0,0,0,0,N/A
3094648,"December 10, 2024",Delaware,Lincoln,"8609 3rd St","Evelyn Morris Early Childhood Center",0,0,0,0,0,N/A
3091356,"December 10, 2024","North Carolina","Winston Salem (Winston-salem)","301 N Hawthorne Rd","R.J. Reynolds High School",0,1,0,0,1,N/A
3096236,"December 9, 2024",Wisconsin,Madison,"2222 E Washington Ave","East High School",0,0,0,0,0,N/A
3091229,"December 9, 2024",Indiana,Garrett,"801 E Houston St","Garrett High School",0,0,0,0,1,N/A
3090464,"December 9, 2024",Kansas,"Overland Park","5800 W 107th St","Shawnee Mission South High School",0,0,0,0,1,N/A
3113084,"December 9, 2024","South Carolina",Florence,N/A,N/A,0,0,0,0,2,N/A
3094801,"December 9, 2024",Georgia,Tucker,"5036 Lavista Rd","Tucker High School",0,0,0,0,1,N/A
3094139,"December 9, 2024",Pennsylvania,Middletown,"777 W Harrisburg Pike","Penn State Harrisburg",1,0,0,0,0,N/A
3089150,"December 6, 2024",California,"Santa Rosa","1235 Mendocino Ave","Santa Rosa High School",0,0,0,0,1,N/A
3095114,"December 6, 2024",Maryland,"Indian Head","3000 Chicamuxen Rd","Henry E. Lackey High School",0,0,0,0,1,N/A
3087937,"December 5, 2024","South Carolina",Bennettsville,"951 Fayetteville Ave","Marlboro County High School",0,0,0,0,1,N/A
3088230,"December 5, 2024","South Dakota",Yankton,"1801 Summit St","Yankton High School",0,0,0,1,1,N/A
3087860,"December 5, 2024","North Carolina",Raleigh,"8642 River Oaks Dr","River Oaks Middle School",0,0,0,0,0,N/A
3089193,"December 5, 2024",Tennessee,Arlington,"7323 Brunswick Rd","Bolton High School",0,0,0,0,1,N/A
3087906,"December 5, 2024",Mississippi,Moorhead,"Sturdivant Ave and E Cherry St","Mississippi Delta Community College - Edwards Stone Street Men's Residence Hall",0,1,0,0,1,N/A
3105693,"December 5, 2024",Arkansas,"West Memphis","2501 E Broadway Ave","West Memphis Wonder",0,0,0,0,1,N/A
3087817,"December 4, 2024",Alabama,Geraldine,"13011 AL-227","Geraldine High School",0,0,0,0,1,N/A
3087871,"December 4, 2024","North Carolina",Whiteville,"4564 Chadbourn Hwy","Southeastern Community College",0,1,0,0,0,N/A
3087874,"December 4, 2024",Alabama,Thomasville,"300 Quincy Ingram St","Thomasville Elementary School",0,0,0,0,1,N/A
3086999,"December 4, 2024",Texas,"North Richland Hills","4131 Rufe Snow Dr","International Leadership of Texas North Richland Hills K8",0,0,0,0,0,N/A
3088310,"December 4, 2024","South Carolina",Hartsville,"Bedford Ave and N 2nd St","Coker University",0,0,0,0,1,N/A
3087057,"December 4, 2024",California,Oroville,"27 Cox Ln","Feather River Adventist School",0,2,1,0,0,N/A
3088126,"December 4, 2024",Virginia,Petersburg,"1100 Patterson St","Westview Early Childhood Education Center",0,0,0,0,0,N/A
3087879,"December 4, 2024",Tennessee,Crossville,"660 Stanley St","Cumberland County High School",0,0,0,0,1,N/A
3088135,"December 3, 2024","New Mexico","Santa Fe","4851 Paseo del Sol","Capital High School",0,0,0,0,1,N/A
3085988,"December 3, 2024",Louisiana,Metairie,"1416 Metairie Rd","Haynes Academy",0,0,0,0,0,N/A
3085918,"December 3, 2024",Mississippi,Meridian,"5501 Old Hwy 80 W","MCC - Ralph E Young Center for Adult Education",0,1,0,0,0,N/A
3085761,"December 2, 2024",Alabama,Madison,"650 Hughes Rd","Bob Jones High School",0,0,0,0,1,N/A
3086342,"December 2, 2024",Wisconsin,Kenosha,"6800 60th St","Indian Trail High School",0,0,0,0,1,N/A
3086228,"December 2, 2024",California,"Chula Vista","160 Quintard St","Castle Park Middle School",0,0,0,0,1,N/A
3086261,"December 2, 2024",Virginia,Arlington,"4420 Fairfax Dr","Arlington Community High School",0,0,0,0,1,N/A
3081992,"November 26, 2024",Tennessee,Knoxville,"3300 Sutherland Ave","West High School",0,0,0,0,1,N/A
3081544,"November 26, 2024",Indiana,"Fort Wayne","4600 Fairlawn Pass","Snider High School",0,0,0,0,1,N/A
3080761,"November 25, 2024",Minnesota,Moorhead,"2800 27th Ave S","Moorhead High School Career Academy",0,0,0,0,1,N/A
3078669,"November 22, 2024",Tennessee,Rockvale,"6545 TN-99","Rockvale High School",0,0,0,0,0,N/A
3081711,"November 22, 2024",Colorado,Rush,"420 S Rush Rd","Miami-Yoder School",0,0,0,0,1,N/A
3078605,"November 22, 2024",Texas,Schertz,"1001 Elbel Rd","Samuel Clemens High School",0,0,0,0,1,N/A
3078538,"November 22, 2024",Minnesota,"Minneapolis (New Hope)","8230 47th Ave N","Robbinsdale Cooper High School",0,0,0,0,1,N/A
3079001,"November 22, 2024",Connecticut,"New Haven","Goffe St and Hudson St",N/A,1,0,0,0,1,N/A
3092594,"November 22, 2024",California,Oakland,"8601 MacArthur Blvd","Castlemont High School",0,1,0,0,0,N/A
3079595,"November 22, 2024",Texas,Spring,"2633 Trailing Vine Rd","Hirsch Elementary School",0,0,0,0,1,N/A
3077366,"November 21, 2024","South Carolina",Kingstree,"615 Martin Luther King Jr Ave","Kingstree High School",0,0,0,0,1,N/A
3079336,"November 21, 2024",Illinois,Darien,"7401 Clarendon Hills Rd","Hinsdale South High School",0,0,0,0,1,N/A
3076897,"November 20, 2024",Virginia,Bassett,"85 Riverside Dr","Bassett High School",0,0,0,0,1,N/A
3077195,"November 20, 2024",Iowa,Davenport,"626 W 53rd St","Davenport North High School",0,0,0,0,1,N/A
3077163,"November 20, 2024",Illinois,Chicago,"110 E 61st St","CICS Washington Park",0,0,0,0,0,N/A
3076328,"November 19, 2024",Ohio,Youngstown,"474 Bennington Ave","East High School",0,0,0,0,1,N/A
3076785,"November 19, 2024",Arizona,Tempe,"6000 S Lakeshore Dr","Marcos de Niza High School",0,0,0,0,1,N/A
3076710,"November 19, 2024",Massachusetts,Boston,"197 Centre St","Neighborhood Charter School",0,0,0,0,1,N/A
3075060,"November 18, 2024",Wisconsin,Auburndale,"10564 N School St","Auburndale Elementary School",0,0,0,0,1,N/A
3074980,"November 18, 2024",Georgia,Marietta,"2451 Favor Rd","Osborne High School",0,0,0,0,1,N/A
3075359,"November 18, 2024",Tennessee,Memphis,"306 S Bellevue Blvd","Central High School",0,1,0,0,1,N/A
3073006,"November 15, 2024",Tennessee,Memphis,"3706 Alumni Ave","University of Memphis",0,0,0,0,1,N/A
3073105,"November 15, 2024",Kentucky,Cynthiana,"1585 KY-356","Westside Elementary School",0,0,0,0,1,N/A
3072933,"November 15, 2024",Tennessee,Memphis,"4851 Elvis Presley Blvd","Whitehaven High School",0,0,0,0,1,N/A
3073523,"November 15, 2024",Florida,Tampa,"6815 N 56th St","King High School",0,0,0,0,2,N/A
3075845,"November 15, 2024","New Mexico",Albuquerque,"7801 Wilshire Ave NE","La Cueva High School",0,0,0,0,1,N/A
3072697,"November 15, 2024",Illinois,Champaign,"610 W University Ave","Champaign Central High School",0,0,0,0,1,N/A
3072524,"November 14, 2024",Oklahoma,Wagoner,"500 Bulldog Cir","Wagoner Junior High School",0,0,0,0,1,N/A
3073013,"November 14, 2024","West Virginia","Mill Creek","10189 Seneca Trail","Tygarts Valley Middle/High School",0,0,0,0,1,N/A
3072709,"November 14, 2024",Florida,Okeechobee,"925 NW 23rd Ln","Yearling Middle School",0,0,0,0,0,N/A
3074741,"November 14, 2024",Missouri,"Grain Valley","551 SW Eagles Pkwy","Grain Valley High School",0,0,0,0,1,N/A
3072543,"November 14, 2024",Maryland,"Windsor Mill","3800 Washington Ave","Milford Mill Academy",0,0,0,0,1,N/A
3071543,"November 13, 2024",California,Oakley,"100 Simoni Ranch Rd","Gehringer Elementary School",0,0,0,0,0,N/A
3072058,"November 13, 2024",Tennessee,Arlington,"7323 Brunswick Rd","Bolton High School",0,0,0,0,1,N/A
3071827,"November 13, 2024",Pennsylvania,Freedom,"401 1st St","Ambridge Area Middle School",0,0,0,0,1,N/A
3071270,"November 12, 2024",Florida,Jacksonville,"3500 Southside Blvd","Tulsa Welding School - Jacksonville",0,1,0,0,1,N/A
3079164,"November 12, 2024",Georgia,"La Fayette (Lafayette)","5178 Round Pond Rd","LaFayette High School",0,0,0,0,0,N/A
3069651,"November 11, 2024",Tennessee,Murfreesboro,"745 Dejarnette Ln","John Pittard Elementary School",0,0,0,0,0,N/A
3070281,"November 11, 2024",Indiana,Elkhart,"59117 Minuteman Way","Concord High School",0,0,0,0,1,N/A
3069119,"November 11, 2024",Utah,Payson,"1025 UT-198","Payson Junior High School",0,0,0,0,1,N/A
3072537,"November 11, 2024",Nebraska,Lincoln,"2930 S 37th St","Lincoln Southeast High School",0,0,0,0,1,N/A
3068250,"November 10, 2024",Alabama,Tuskegee,"1200 W Montgomery Rd","Tuskegee University - West Residence Halls Parking Lot",1,15,0,0,2,N/A
3068282,"November 9, 2024",Illinois,"Country Club Hills","17401 Pulaski Rd","Hillcrest High School",1,0,0,0,0,N/A
3070290,"November 8, 2024",Minnesota,"Saint Joseph","1300 Jade Rd","Kennedy Communty School",0,0,0,0,1,N/A
3070461,"November 8, 2024",Ohio,"Youngstown (Austintown)","4560 Falcon Dr","Greenwood Chevrolet Austintown Falcon Stadium",0,0,0,0,1,N/A
3067855,"November 8, 2024",California,Redding,"3411 Churn Crk Rd",N/A,0,0,0,0,1,N/A
3067397,"November 8, 2024",Pennsylvania,Philadelphia,"W Montgomery Ave and N Broad St","Temple University Campus",0,1,0,0,2,N/A
3067233,"November 7, 2024",Tennessee,Arlington,"7323 Brunswick Rd","Bolton High School",0,0,0,0,1,N/A
3066404,"November 7, 2024",Alabama,Madison,"281 Dock Murphy Dr","Liberty Middle School",0,0,0,0,1,N/A
3076826,"November 7, 2024",Arkansas,Beebe,"1201 W Center St","Beebe High School",0,0,0,0,1,N/A
3066309,"November 7, 2024",Florida,Tampa,"5101 N 40th St","Gary Adult School",0,0,0,0,1,N/A
3067008,"November 7, 2024",Florida,Gainesville,"3000 NW 83 St","Santa Fe College",0,0,0,0,1,N/A
3068515,"November 7, 2024",Pennsylvania,Coatesville,"300 block of Charles St",N/A,0,0,0,0,2,N/A
3066545,"November 7, 2024",Utah,"Salt Lake City","241 N 300 W","West High School",0,1,0,0,1,N/A
3066972,"November 6, 2024",Delaware,Wilmington,"1800 Limestone Rd","Stanton Middle School",0,0,0,0,0,N/A
3065631,"November 6, 2024",Ohio,Elyria,"2015 W River Rd N","Black River Career Prep High School",0,0,0,0,1,N/A
3066333,"November 6, 2024",Florida,Seffner,"12000 US-92","Armwood High School",0,0,0,0,1,N/A
3065848,"November 6, 2024",Kentucky,Louisville,"9115 Fern Creek Rd","Fern Creek High School",0,0,0,0,1,N/A
3064722,"November 5, 2024",Florida,"Saint Petersburg","49th St and 18th Ave",N/A,0,1,0,0,0,N/A
3064122,"November 4, 2024",Pennsylvania,Philadelphia,"1717 N 12th St","Five Guys / Raising Cane's",0,1,0,0,0,N/A
3066774,"November 4, 2024",Oregon,Scio,"38875 NW 1st Ave","Centennial Elementary School",0,0,0,0,0,N/A
3064444,"November 4, 2024",Massachusetts,Boston,"155 Talbot Ave","Joseph Lee School",0,0,0,0,1,N/A
3064048,"November 4, 2024","New York",Rochester,"NY-104 and Portland Ave",N/A,0,0,0,0,0,N/A
3062883,"November 3, 2024","North Carolina",Raleigh,"700 block of S Person St","Shaw University",0,1,0,0,1,N/A
3065175,"November 2, 2024",Louisiana,Ruston,"501 Dan Reneau Dr","Louisiana Tech Nielsen Hall",0,0,0,0,1,N/A
3075160,"November 1, 2024",Georgia,Marietta,"2451 Favor Rd","Osborne High School",0,0,0,0,1,N/A
3070140,"November 1, 2024",Florida,Apopka,"2501 Hiawassee Rd","Wekiva High School",0,0,0,0,1,N/A
3061642,"October 31, 2024",Wisconsin,Madison,"702 Pflaum Rd","La Follette High School",0,0,0,0,1,N/A
3061117,"October 31, 2024",Tennessee,Nashville,"904 26th Ave N","Pearl Cohn High School",0,0,0,0,1,N/A
3061337,"October 31, 2024",Ohio,Painesville,"845 Madison Ave","Riverview Elementary School",0,0,0,0,1,N/A
3061731,"October 31, 2024",California,"San Diego","5100 block of College Ave","San Diego State University trolley station",0,1,0,0,1,N/A
3061742,"October 31, 2024",Mississippi,Columbus,"2920 New Hope Rd","New Hope High School",0,0,0,0,1,N/A
3061331,"October 31, 2024",Ohio,"Cincinnati (Mount Healthy)","8101 Hamilton Ave","Mt. Healthy Jr./Sr. High School",0,0,0,0,0,N/A
3062852,"October 31, 2024",Arizona,Tucson,"545 N Camino Seco","Sahuaro High School",0,0,0,0,1,N/A
3060947,"October 31, 2024",Florida,"Vero Beach","1707 16th St","Vero Beach High School",0,0,0,0,1,N/A
3061318,"October 31, 2024",Tennessee,Memphis,"4851 Elvis Presley Blvd","Whitehaven High School Stadium",0,0,0,0,1,N/A
3062089,"October 31, 2024","North Carolina",Greenville,"4th St","East Carolina University",0,0,0,0,1,N/A
3064158,"October 30, 2024",Ohio,Cincinnati,"10761 Pippin Rd","Northwest High School",0,0,0,0,1,N/A
3068782,"October 30, 2024",Georgia,Atlanta,"139 John Wesley Dobbs Ave NE","Piedmont Central",0,0,0,0,0,N/A
3061035,"October 30, 2024","North Carolina",Hillsborough,"3700 NC-86","A. L. Stanback Middle School",0,0,0,0,1,N/A
3061030,"October 30, 2024","North Carolina",Wilmington,"4305 Shipyard Blvd","John T. Hoggard High School",0,0,0,0,1,N/A
3060957,"October 30, 2024",California,"Santa Rosa","1250 Hahman Dr","Montgomery High School",0,0,0,0,1,N/A
3060929,"October 30, 2024",California,Salinas,"55 Kip Dr","North Salinas High School",0,0,0,0,0,N/A
3062405,"October 30, 2024",Washington,Rochester,"19800 Carper Rd SW","Rochester High School",0,0,0,0,0,N/A
3061258,"October 29, 2024",Alabama,"Pine Hill","500 Leroy Randolph Rd","F.S. Ervin Elementary School",0,0,0,0,0,N/A
3066303,"October 29, 2024",Washington,"Federal Way","35999 16th Ave S","Todd Beamer High School",0,0,0,0,1,N/A
3059556,"October 29, 2024",Connecticut,Bridgeport,"374 Linden Ave","University of Connecticut - Marina Dining Hall",0,1,0,0,1,N/A
3058771,"October 29, 2024",Georgia,Rincon,"2940 GA-21","Effingham College and Career Academy",0,0,0,0,1,N/A
3059846,"October 29, 2024",Mississippi,Meridian,"2320 32nd St","Meridian High School",0,0,0,0,2,N/A
3059613,"October 29, 2024",Texas,Schertz,"1001 Elbel Rd","Samuel Clemens High School",0,0,0,0,2,N/A
3058822,"October 28, 2024",Texas,Houston,"3325 Westheimer Rd","Lamar High School",0,0,0,0,2,N/A
3060106,"October 28, 2024",Florida,Gainesville,"1900 NW 13th St","Gainesville High School",0,0,0,0,1,N/A
3058048,"October 28, 2024",Pennsylvania,Philadelphia,"35 S 4th St","Mastery Charter School Lenfest Campus",0,0,0,0,1,N/A
3057854,"October 28, 2024",Virginia,Chesapeake,"2007 Grizzly Wy","Grassfield High School",0,0,0,0,1,N/A
3058760,"October 28, 2024",Texas,"Fort Worth","4101 Thompson Rd","Fossil Ridge High School",0,0,0,0,1,N/A
3057276,"October 27, 2024",Pennsylvania,"East Stroudsburg","1236 Centre St","East Stroudsburg University",0,0,0,0,0,N/A
3057163,"October 26, 2024","North Carolina",Durham,"2103 Fayetteville St","North Carolina Central University",0,0,0,0,2,N/A
3057141,"October 26, 2024","North Carolina",Durham,"231 Eagle Campus Dr","North Carolina Central University",0,4,0,0,1,N/A
3063178,"October 26, 2024","South Carolina",Clemson,"100 Mell Hall","Clemson University - Mell Hall",0,0,0,0,1,N/A
3056080,"October 25, 2024",Louisiana,"Saint Martinville","762 N Main St","Saint Martinville Senior High",1,0,0,0,1,N/A
3055862,"October 25, 2024",Wisconsin,"La Crosse","1801 Losey Blvd S","Central High School",0,0,0,0,1,N/A
3055778,"October 24, 2024",Arkansas,"Pine Bluff","1204 LA Prexy Davis Dr","University of Arkansas at Pine Bluff",0,2,0,0,1,N/A
3055857,"October 24, 2024",California,"Santa Rosa","599 Bellevue Ave","Elsie Allen High School",0,0,0,0,1,N/A
3055624,"October 24, 2024","South Carolina",Columbia,"120 Sparkleberry Ln","Spring Valley High School",0,0,0,0,1,N/A
3054563,"October 23, 2024","New York","Corona (Queens)","85-11 102nd St","P.S. 66 - The Jacqueline Kennedy Onassis School",0,0,0,0,0,N/A
3055370,"October 23, 2024",Indiana,Evansville,"211 Fielding Rd","Harrison High School",0,0,0,0,1,N/A
3054386,"October 23, 2024","North Carolina","High Point","1920 McGuinn Dr","T. Wingate Andrews High School",0,0,0,0,1,N/A
3109542,"October 23, 2024",Nevada,"North Las Vegas","150 W Deer Springs Way","Legacy High School",0,0,0,0,0,N/A
3053757,"October 22, 2024","South Carolina","North Charleston","6209 Rivers Ave",Learn4Life,0,0,0,0,1,N/A
3054405,"October 22, 2024",Florida,Tallahassee,"1717 W Tharpe St","Amos P. Godby High School",0,0,0,0,1,N/A
3053533,"October 22, 2024",Ohio,Cleveland,"2439 E 55th St","East Technical High School",0,0,0,0,1,N/A
3054223,"October 22, 2024","New York",Brooklyn,"5800 Tilden Ave","Samuel J. Tilden High School",0,0,0,0,1,N/A
3053276,"October 22, 2024","South Carolina",Georgetown,"532 McDonald Rd","McDonald Elementary School",0,0,0,0,1,N/A
3054071,"October 22, 2024","New Mexico",Shiprock,US-64,"Shiprock High School",0,0,0,0,2,N/A
3053725,"October 21, 2024",Georgia,Marietta,"340 Aviation Rd SE","Marietta Sixth Grade Academy",0,0,0,0,0,N/A
3052577,"October 21, 2024","New Hampshire",Manchester,"1 Crusader Way","Manchester Memorial High School",0,0,0,0,1,N/A
3053417,"October 21, 2024",Florida,Seffner,"12000 US-92","Armwood High School",0,0,0,0,1,N/A
3053393,"October 21, 2024",Florida,Tampa,"2011 E Sligh Ave","Sligh Middle Magnet School",0,0,0,0,1,N/A
3055505,"October 21, 2024",Oregon,Bend,"1501 NE Neff Rd","Pilot Butte Middle School",0,0,0,0,1,N/A
3052221,"October 21, 2024",Colorado,Denver,"1201 5th St","Auraria Campus",0,1,0,0,1,N/A
3053263,"October 21, 2024",Texas,"New Summerfield",N/A,N/A,0,0,0,0,1,N/A
3063017,"October 19, 2024",Louisiana,Grambling,"403 Main St","Grambling State University",0,0,0,0,1,N/A
3051717,"October 19, 2024",Georgia,Albany,"504 College Dr","Albany State U - East Campus - Student Union",1,4,0,0,1,N/A
3050653,"October 18, 2024",Kentucky,Covington,"2500 Madison Ave","Holmes High School",0,0,0,0,1,N/A
3053868,"October 18, 2024",Alabama,Selma,"7975 US-80","Southside High School",1,0,0,0,1,N/A
3050627,"October 18, 2024",Tennessee,Nashville,"110 Gallatin Ave","East Nashville Magnet High School",0,0,0,0,3,N/A
3050792,"October 18, 2024",Alabama,Dothan,"1701 Stadium St","W.D. ""Rip"" Hewes Stadium",0,1,0,0,1,N/A
3052292,"October 18, 2024",Delaware,Dover,"1 Dover High Dr","Dover High School",0,0,0,0,2,N/A
3052728,"October 18, 2024","New York","Mastic Beach","240 Mastic Beach Rd","William Floyd High School",0,0,0,0,1,N/A
3059474,"October 17, 2024","West Virginia",Kingwood,"731 Preston Dr","Preston High School",0,0,0,0,1,N/A
3072778,"October 17, 2024","South Carolina",Conway,"107 Founders Dr","Coastal Carolina University",0,0,0,0,1,N/A
3049935,"October 17, 2024",Oregon,Portland,"10200 SW Capitol Hwy","Islamic School of Portland",0,1,0,0,1,N/A
3050544,"October 17, 2024","South Carolina",Williamston,"804 Hamilton St","Palmetto High School",0,0,0,0,1,N/A
3050248,"October 17, 2024",Ohio,Lorain,"2515 Marshall Ave","Frank Jacinto Elementary School",0,0,0,0,2,N/A
3049957,"October 17, 2024",Louisiana,Lafayette,"Marie Antoinette St and Stuart St","Lafayette High School  (New Building Site)",0,1,0,0,0,N/A
3050102,"October 17, 2024",Kentucky,Louisville,"3000 Dundee Rd","Atherton High School",0,1,0,0,0,N/A
3049194,"October 16, 2024",Tennessee,Antioch,"1900 Hobson Pike","Antioch High School",0,0,0,0,1,N/A
3048736,"October 16, 2024","North Carolina",Raleigh,"Thurman Dr and Varsity Dr","North Carolina State University",0,0,0,0,1,N/A
3049683,"October 16, 2024",Georgia,Grovetown,"2010 Warrior Way","Grovetown High School",0,0,0,0,1,N/A
3048104,"October 15, 2024",Alabama,Huntsville,"2304 Billie Watkins St SW","Huntsville High School",0,0,0,0,0,N/A
3056094,"October 15, 2024",Kentucky,Paintsville,"257 N Mayo Trl","Johnson Central High School",0,0,0,0,0,N/A
3048245,"October 15, 2024",Maryland,"Ellicott City","8700 Old Annapolis Rd","Howard High School",0,0,0,0,1,N/A
3065425,"October 15, 2024","New Jersey",Somerset,"1345 Easton Ave","Rutgers Preparatory School",0,0,0,0,1,N/A
3048837,"October 15, 2024",California,Victorville,"18422 Bear Valley Rd","Victor Valley College",0,0,0,0,1,N/A
3048771,"October 15, 2024",Virginia,"Virginia Beach","1700 Dahlia Dr","Green Run High School",0,0,0,0,1,N/A
3048557,"October 15, 2024",Washington,Spokane,"4106 N Cook St","Shaw Middle School",0,0,0,0,1,N/A
3049685,"October 14, 2024","South Carolina",Walterboro,"165 Academy Rd","Colleton Preparatory Academy",0,0,0,0,1,N/A
3048039,"October 14, 2024",Virginia,"Colonial Heights","E River Rd","Virginia State University",0,0,0,0,0,N/A
3047242,"October 14, 2024","South Carolina","Mount Pleasant","1560 Mathis Ferry Rd","Lucy Beckham High School",0,0,0,0,1,N/A
3048585,"October 14, 2024",California,"Santa Monica","1660 Stewart St","Santa Monica College Center for Media and Design",1,0,1,0,0,N/A
3047595,"October 12, 2024",Louisiana,"Baton Rouge","101 Gateway Center Ln","Wendy's in Gateway Center",0,0,0,0,0,N/A
3049141,"October 12, 2024",Michigan,Pontiac,N/A,N/A,0,0,0,0,1,N/A
3047597,"October 12, 2024",Louisiana,"Baton Rouge","Aster St and Spruce Dr","LSU Aster Street North Lot",0,0,0,0,1,N/A
3046682,"October 12, 2024",Texas,"Wichita Falls","3410 Taft Blvd","Midwestern State University",0,0,0,0,1,N/A
3046274,"October 12, 2024",Indiana,"South Bend","Titan Dr","IU South Bend - River Crossing Campus Apartments",0,1,0,0,0,N/A
3045935,"October 11, 2024",Tennessee,Ooltewah,"6123 Mountain View Rd","Ooltewah High School",0,0,0,0,1,N/A
3045179,"October 11, 2024",Louisiana,Zachary,"4100 School St","Zachary High School",0,0,0,0,1,N/A
3045134,"October 11, 2024","North Carolina","Laurel Hill","11340 Old Wire Rd","Laurel Hill Elementary School",0,0,0,0,0,N/A
3045566,"October 11, 2024",Ohio,"Cleveland (Cleveland Heights)","13263 Cedar Rd","Cleveland Heights High School",0,0,0,0,1,N/A
3045513,"October 11, 2024",Virginia,"Richmond (North Chesterfield)","4901 Cogbill Rd","Meadowbrook High School",0,0,0,0,1,N/A
3044942,"October 10, 2024",Ohio,"Cleveland (Cleveland Heights)","13263 Cedar Rd","Cleveland Heights High School",0,0,0,0,1,N/A
3044807,"October 10, 2024",Illinois,Chicago,"4837 W Erie St","Nash Elementary School",0,0,0,0,0,N/A
3158163,"October 10, 2024",Arkansas,Wynne,"849 Eldridge Ave","Wynne Junior High School",0,0,0,0,1,N/A
3048672,"October 10, 2024",Idaho,Caldwell,"3401 S Indiana Ave","Caldwell Senior High School",0,0,0,0,1,N/A
3045022,"October 10, 2024",Mississippi,Petal,"203 E Central Ave","Petal Middle School",0,0,0,0,1,N/A
3043732,"October 8, 2024","New Mexico",Albuquerque,"10800 Dennis Chavez Blvd SW","Atrisco Heritage Academy High School",0,0,0,0,1,N/A
3043605,"October 8, 2024",Texas,Crandall,"13385 FM 3039","Crandall High School",0,0,0,0,1,N/A
